attempt,'.'-'t','t'-'i','i'-'e','e'-'5','5'-key.shift,key.shift-'r','r'-'o','o'-'a','a'-'n','n'-'l','l'-key.enter
18,0.23226308822631836,0.201552152633667,0.19257807731628418,0.3220560550689697,0.41254401206970215,0.12386417388916016,0.09008908271789551,0.22516822814941406,0.07647418975830078,0.16783499717712402,0.25197601318359375
19,0.2070009708404541,0.2667250633239746,0.21514081954956055,0.33550596237182617,0.39519715309143066,0.11602616310119629,0.11183810234069824,0.22413969039916992,0.0723111629486084,0.11565423011779785,0.2407529354095459
20,0.24778509140014648,0.17861318588256836,0.22265100479125977,0.2794148921966553,0.36891984939575195,0.13205313682556152,0.1100010871887207,0.2267141342163086,0.07205390930175781,0.10422897338867188,0.24144411087036133
21,0.2462470531463623,0.1974039077758789,0.21712183952331543,0.31493401527404785,0.4012739658355713,0.12790226936340332,0.06767511367797852,0.2187802791595459,0.06749296188354492,0.10402202606201172,0.25054192543029785
22,0.23999428749084473,0.18937921524047852,0.22255587577819824,0.2913210391998291,0.3793158531188965,0.1318349838256836,0.11505603790283203,0.21633410453796387,0.17236590385437012,0.7358200550079346,0.2876431941986084
23,0.2684211730957031,0.2026350498199463,0.22075796127319336,0.300112247467041,0.42440199851989746,0.15976786613464355,0.11158394813537598,0.23594021797180176,0.09132909774780273,0.1642742156982422,0.3305809497833252
24,0.24730896949768066,0.21593904495239258,0.21824383735656738,0.33626317977905273,0.40271496772766113,0.11983799934387207,0.08808398246765137,0.2569160461425781,0.08439898490905762,0.18299078941345215,0.2671329975128174
25,0.24057602882385254,0.21664214134216309,0.2055509090423584,0.3033289909362793,0.40079784393310547,0.13628578186035156,0.08484411239624023,0.26117777824401855,0.06805419921875,0.1832730770111084,0.28550195693969727
26,0.24760794639587402,0.2155618667602539,0.2093031406402588,0.316403865814209,0.39041781425476074,0.14812016487121582,0.18747329711914062,0.24877691268920898,0.20441126823425293,0.2190241813659668,0.2813608646392822
27,0.2391071319580078,0.2023470401763916,0.22919893264770508,0.30342602729797363,0.39913392066955566,0.13993096351623535,0.07277417182922363,0.22911500930786133,0.07154130935668945,0.14036798477172852,0.2998800277709961
28,0.22163820266723633,0.22414088249206543,0.20021796226501465,0.3131599426269531,0.36620116233825684,0.1365985870361328,0.13022804260253906,0.12443780899047852,0.19716572761535645,0.10431480407714844,0.2827751636505127
29,0.2579231262207031,0.21079707145690918,0.2197561264038086,0.33080005645751953,0.4258460998535156,0.14754080772399902,0.16001033782958984,0.21209383010864258,0.20989298820495605,0.24255108833312988,0.26439499855041504
30,0.25226807594299316,0.21052908897399902,0.22983908653259277,0.34248781204223633,0.40059423446655273,0.13667988777160645,0.17026376724243164,0.1040959358215332,0.24310088157653809,0.24710297584533691,0.27942824363708496
